Fecha,Equipo,Tipo,Jugador,Otro,Monto,Descripcion
25/11/2025,Vigar24,Venta,Marcos Llorente,LALIGA,81572262,Venta a LALIGA
26/08/2025,Alcatamy eSports By,Compra,Aramburu,LALIGA,7343725,Compra a LALIGA
26/08/2025,Alcatamy eSports By,Compra,Simeone,LALIGA,6735256,Compra a LALIGA
26/08/2025,Morenazos FC,Jornada,-,Premios,3700000,Jornada 2
26/08/2025,Pablinistan FC,Jornada,-,Premios,8900000,Jornada 2
26/08/2025,GOLENCIERRO FC,Venta,Iñaki Williams,LALIGA,49075586,Venta a LALIGA
26/08/2025,Pablinistan FC,Compra,Ruben,LALIGA,318816,Compra a LALIGA
26/08/2025,Vigar24,Compra,Aleñá,Visite La Manga FC,5403700,Compra a Visite La Manga FC
26/08/2025,Vigar24,Compra,Eric,LALIGA,14256620,Compra a LALIGA
26/08/2025,Vigar24,Compra,Ferran,GOLENCIERRO FC,33282428,Compra a GOLENCIERRO FC
26/08/2025,Vigar24,Compra,Mario Martín,LALIGA,1900000,Compra a LALIGA
26/08/2025,Vigar24,Compra,Maroan,LALIGA,6000001,Compra a LALIGA
26/08/2025,Visite La Manga FC,Once Ideal,-,Premios,200000,11 Ideal
26/09/2025,Alcatamy eSports By,Compra,Pepe,LALIGA,73860899,Compra a LALIGA
26/09/2025,Alcatamy eSports By,Compra,Raíllo,LALIGA,10791168,Compra a LALIGA
26/09/2025,Alcatamy eSports By,Jornada,-,Premios,7900000,Jornada 6
26/09/2025,GOLENCIERRO FC,Jornada,-,Premios,5300000,Jornada 6
26/09/2025,Morenazos FC,Jornada,-,Premios,7300000,Jornada 6
26/09/2025,Vigar24,Jornada,-,Premios,6000000,Jornada 6
26/09/2025,Visite La Manga FC,Jornada,-,Premios,4400000,Jornada 6
26/09/2025,GOLENCIERRO FC,Venta,German V.,LALIGA,10909682,Venta a LALIGA
26/09/2025,GOLENCIERRO FC,Venta,I. Romero,LALIGA,4664737,Venta a LALIGA
26/09/2025,Morenazos FC,Compra,Pere Milla,LALIGA,9785241,Compra a LALIGA
26/09/2025,Pablinistan FC,Once Ideal,-,Premios,300000,11 Ideal
26/09/2025,Pablinistan FC,Venta,Dani Calvo,LALIGA,1551485,Venta a LALIGA
26/09/2025,Pablinistan FC,Venta,Iago Aspas,LALIGA,16921691,Venta a LALIGA
26/09/2025,Vigar24,Compra,Unai Lopez,LALIGA,3000000,Compra a LALIGA
26/09/2025,Vigar24,Venta,Buchanan,LALIGA,35262101,Venta a LALIGA
26/09/2025,Visite La Manga FC,Venta,A. Batalla,LALIGA,12103526,Venta a LALIGA
26/09/2025,Visite La Manga FC,Venta,A. Fortuño,LALIGA,498917,Venta a LALIGA
26/10/2025,Pablinistan FC,Venta,German V.,LALIGA,19758434,Venta a LALIGA
26/11/2025,Alcatamy eSports By,Compra,Gerard,LALIGA,35323221,Compra a LALIGA
26/11/2025,Alcatamy eSports By,Venta,Á. Carreras,LALIGA,90103547,Venta a LALIGA
26/11/2025,GOLENCIERRO FC,Compra,André Silva,LALIGA,9233466,Compra a LALIGA
26/11/2025,GOLENCIERRO FC,Compra,Danjuma,LALIGA,34000000,Compra a LALIGA
26/11/2025,GOLENCIERRO FC,Compra,Gazzaniga,LALIGA,5000001,Compra a LALIGA
26/11/2025,GOLENCIERRO FC,Venta,Rubén García,LALIGA,5691383,Venta a LALIGA
26/11/2025,Pablinistan FC,Compra,Gorrotxa,GOLENCIERRO FC,3000000,Compra a GOLENCIERRO FC
26/11/2025,Pablinistan FC,Compra,Héctor Fort,LALIGA,971937,Compra a LALIGA
26/11/2025,Pablinistan FC,Compra,Raphinha,Morenazos FC,190031541,Compra a Morenazos FC
26/11/2025,Vigar24,Compra,A. Pedraza,Pablinistan FC,1624797,Compra a Pablinistan FC
26/11/2025,Vigar24,Venta,Fornals,LALIGA,78873857,Venta a LALIGA
26/11/2025,Visite La Manga FC,Compra,Dmitrovic,GOLENCIERRO FC,19300491,Compra a GOLENCIERRO FC
26/11/2025,Visite La Manga FC,Compra,Óscar Valentín,GOLENCIERRO FC,1100000,Compra a GOLENCIERRO FC
27/08/2025,Alcatamy eSports By,Compra,Cucho,LALIGA,10296859,Compra a LALIGA
27/08/2025,Alcatamy eSports By,Compra,F. Mastantuono,LALIGA,26352610,Compra a LALIGA
27/08/2025,GOLENCIERRO FC,Blindaje,Catena,-,0,Blindaje
27/08/2025,GOLENCIERRO FC,Compra,Leo Román,LALIGA,7000000,Compra a LALIGA
27/08/2025,GOLENCIERRO FC,Venta,Nyland,LALIGA,5876562,Venta a LALIGA
27/08/2025,Morenazos FC,Venta,Conor Gallagher,LALIGA,11127069,Venta a LALIGA
27/08/2025,Visite La Manga FC,Compra,Brais Méndez,LALIGA,18100000,Compra a LALIGA
27/08/2025,Visite La Manga FC,Compra,Pathé I. Ciss,LALIGA,4100000,Compra a LALIGA
27/09/2025,Alcatamy eSports By,Venta,Nico Gonzalez,LALIGA,28193185,Venta a LALIGA
27/09/2025,GOLENCIERRO FC,Compra,Iñigo Perez,LALIGA,1042282,Compra a LALIGA
27/09/2025,Morenazos FC,Compra,Bryan,LALIGA,11993467,Compra a LALIGA
27/09/2025,Morenazos FC,Compra,Tchouaméni,LALIGA,59319300,Compra a LALIGA
27/09/2025,Pablinistan FC,Compra,Laporte,LALIGA,27202250,Compra a LALIGA
27/09/2025,Visite La Manga FC,Compra,El Hilali,LALIGA,5500000,Compra a LALIGA
27/09/2025,Visite La Manga FC,Venta,A. J. Morales,LALIGA,3231557,Venta a LALIGA
27/09/2025,Visite La Manga FC,Venta,José Bordalás,LALIGA,809938,Venta a LALIGA
27/10/2025,Pablinistan FC,Compra,Sergio Gómez,GOLENCIERRO FC,8800283,Compra a GOLENCIERRO FC
27/10/2025,Vigar24,Compra,Ez Abde,GOLENCIERRO FC,23901814,Compra a GOLENCIERRO FC
27/10/2025,Vigar24,Venta,Laporte,LALIGA,28001761,Venta a LALIGA
27/10/2025,Vigar24,Venta,Pedri,LALIGA,139455015,Venta a LALIGA
27/10/2025,Visite La Manga FC,Compra,Aleñá,LALIGA,13301663,Compra a LALIGA
27/11/2025,Alcatamy eSports By,Venta,Fermín,LALIGA,95223490,Venta a LALIGA
27/11/2025,GOLENCIERRO FC,Compra,Raíllo,LALIGA,6509818,Compra a LALIGA
27/11/2025,GOLENCIERRO FC,Venta,David Carmo,LALIGA,1927451,Venta a LALIGA
27/11/2025,GOLENCIERRO FC,Venta,Witsel,LALIGA,4370970,Venta a LALIGA
27/11/2025,Vigar24,Compra,Lunin,LALIGA,1000002,Compra a LALIGA
28/08/2025,Pablinistan FC,Compra,Turrientes,LALIGA,2600264,Compra a LALIGA
28/09/2025,Alcatamy eSports By,Blindaje,De Frutos,-,0,Blindaje
28/09/2025,GOLENCIERRO FC,Compra,Budimir,LALIGA,39000001,Compra a LALIGA
28/09/2025,GOLENCIERRO FC,Compra,Griezmann,LALIGA,24000001,Compra a LALIGA
28/09/2025,GOLENCIERRO FC,Compra,Valjent,LALIGA,8000001,Compra a LALIGA
28/09/2025,GOLENCIERRO FC,Venta,Berenguer,LALIGA,34444800,Venta a LALIGA
28/09/2025,GOLENCIERRO FC,Venta,F. Garcés,LALIGA,6438843,Venta a LALIGA
28/09/2025,Visite La Manga FC,Compra,Tárrega,GOLENCIERRO FC,17981045,Compra a GOLENCIERRO FC
28/09/2025,Visite La Manga FC,Venta,Carvajal,LALIGA,32721801,Venta a LALIGA
28/10/2025,Alcatamy eSports By,Blindaje,E. Militão,-,0,Blindaje
28/10/2025,Alcatamy eSports By,Jornada,-,Premios,8100000,Jornada 10
28/10/2025,GOLENCIERRO FC,Jornada,-,Premios,6200000,Jornada 10
28/10/2025,Morenazos FC,Jornada,-,Premios,3000000,Jornada 10
28/10/2025,Vigar24,Jornada,-,Premios,4700000,Jornada 10
28/10/2025,GOLENCIERRO FC,Compra,Dmitrovic,Visite La Manga FC,14126944,Compra a Visite La Manga FC
28/10/2025,Pablinistan FC,Compra,Arnau Tenas,Vigar24,2000000,Compra a Vigar24
28/10/2025,Vigar24,Compra,Júnior R.,LALIGA,16510525,Compra a LALIGA
28/10/2025,Vigar24,Compra,L. Milla,Alcatamy eSports By,76082394,Compra a Alcatamy eSports By
28/10/2025,Vigar24,Venta,Barrios,LALIGA,60685623,Venta a LALIGA
28/10/2025,Vigar24,Venta,Álvaro García,LALIGA,34125329,Venta a LALIGA
28/10/2025,Visite La Manga FC,Compra,Agirrezabala,Vigar24,18903850,Compra a Vigar24
28/10/2025,Visite La Manga FC,Venta,Pathé I. Ciss,LALIGA,12705780,Venta a LALIGA
